Commune,Departement,Code INSEE,D102.0,Année
Beynes,78,78062,,2012
Bezalles,77,77033,,2012
Bezons,95,95063,2.05,2012
Bièvres,91,91064,2.05,2012
Blandy,91,91067,,2012
Blennes,77,77035,,2012
Bobigny,93,93008,,2012
Boigneville,91,91069,,2012
Boinville-en-Mantois,78,78070,,2012
Boinville-le-Gaillard,78,78071,2.37,2012
Boinvilliers,78,78072,,2012
Bois-Colombes,92,92009,,2012
Bois-Herpin,91,91075,,2012
Bois-d'Arcy,78,78073,4.22,2012
Bois-le-Roi,77,77037,,2012
Boisdon,77,77036,,2012
Boisemont,95,95074,1.91,2012
Boissets,78,78076,,2012
Boissettes,77,77038,,2012
Boissise-la-Bertrand,77,77039,,2012
Boissise-le-Roi,77,77040,,2012
Boissy-Saint-Léger,94,94004,,2012
Boissy-aux-Cailles,77,77041,,2012
Boissy-la-Rivière,91,91079,,2012
Boissy-le-Châtel,77,77042,,2012
Boissy-le-Cutté,91,91080,,2012
Boissy-le-Sec,91,91081,,2012
Boissy-sans-Avoir,78,78084,,2012
Boissy-sous-Saint-Yon,91,91085,,2012
Boitron,77,77043,,2012
Bombon,77,77044,,2012
Bondoufle,91,91086,,2012
Bondy,93,93010,,2012
Bonnelles,78,78087,,2012
Bonneuil-en-France,95,95088,,2012
Bonneuil-sur-Marne,94,94011,,2012
Bouafle,78,78090,,2012
Bouffémont,95,95091,2.89,2012
Bougival,78,78092,4.22,2012
Boulancourt,77,77046,,2012
Bouleurs,77,77047,,2012
Boulogne-Billancourt,92,92012,2.05,2012
Bouqueval,95,95094,3.06,2012
Bouray-sur-Juine,91,91095,,2012
Bourdonné,78,78096,3.05,2012
Bourg-la-Reine,92,92014,2.05,2012
Bourron-Marlotte,77,77048,,2012
Boussy-Saint-Antoine,91,91097,,2012
Boutervilliers,91,91098,1.52,2012
Boutigny,77,77049,,2012
Boutigny-sur-Essonne,91,91099,,2012
Bouville,91,91100,,2012
Bransles,77,77050,2.58,2012
Bray-et-Lû,95,95101,,2012
Bray-sur-Seine,77,77051,,2012
Breuil-Bois-Robert,78,78104,,2012
Breuillet,91,91105,,2012
Breux-Jouy,91,91106,,2012
Brignancourt,95,95110,,2012
Briis-sous-Forges,91,91111,,2012
Brières-les-Scellés,91,91109,,2012
Brou-sur-Chantereine,77,77055,2.05,2012
Brouy,91,91112,,2012
Brueil-en-Vexin,78,78113,,2012
Brunoy,91,91114,,2012
Bruyères-le-Châtel,91,91115,,2012
Bry-sur-Marne,94,94015,2.05,2012
Bréançon,95,95102,2.84,2012
Brétigny-sur-Orge,91,91103,,2012
Bréval,78,78107,,2012
Buc,78,78117,4.22,2012
Buchelay,78,78118,,2012
Bullion,78,78120,,2012
Buno-Bonnevaux,91,91121,,2012
Burcy,77,77056,,2012
Bures-sur-Yvette,91,91122,,2012
Bussières,77,77057,,2012
Bussy-Saint-Georges,77,77058,,2012
Bussy-Saint-Martin,77,77059,,2012
Buthiers,77,77060,,2012
Butry-sur-Oise,95,95120,2.05,2012
Béhoust,78,78053,,2012
Béthemont-la-Forêt,95,95061,2.05,2012
Cachan,94,94016,,2012
Cannes-Écluse,77,77061,2.08,2012
Carnetin,77,77062,,2012
Carrières-sous-Poissy,78,78123,,2012
Carrières-sur-Seine,78,78124,,2012
Cergy,95,95127,1.91,2012
Cerneux,77,77066,,2012
Cerny,91,91129,,2012
Cesson,77,77067,,2012
Cessoy-en-Montois,77,77068,,2012
Chailly-en-Brie,77,77070,,2012
Chaintreaux,77,77071,2.54,2012
Chalautre-la-Grande,77,77072,,2012
Chalautre-la-Petite,77,77073,,2012
Chalifert,77,77075,,2012
Chalmaison,77,77076,,2012
Chalo-Saint-Mars,91,91130,,2012
Chalou-Moulineux,91,91131,,2012
Chamarande,91,91132,,2012
Chambourcy,78,78133,1.88,2012
Chambry,77,77077,,2012
Chamigny,77,77078,,2012
Champagne-sur-Oise,95,95134,2.78,2012
Champagne-sur-Seine,77,77079,2.63,2012
Champcenest,77,77080,,2012
Champcueil,91,91135,,2012
Champdeuil,77,77081,,2012
Champeaux,77,77082,,2012
Champigny-sur-Marne,94,94017,2.05,2012
Champlan,91,91136,,2012
Champmotteux,91,91137,,2012
Champs-sur-Marne,77,77083,,2012
Changis-sur-Marne,77,77084,,2012
Chanteloup-en-Brie,77,77085,,2012
Chanteloup-les-Vignes,78,78138,,2012
Chapet,78,78140,,2012
Charenton-le-Pont,94,94018,2.05,2012
Charmentray,77,77094,,2012
Charny,77,77095,,2012
Chars,95,95142,2.84,2012
Chartrettes,77,77096,,2012
Chartronges,77,77097,,2012
Chatignonville,91,91145,2.37,2012
Chatou,78,78146,,2012
Chauconin-Neufmontiers,77,77335,,2012
Chauffour-lès-Étréchy,91,91148,,2012
Chauffry,77,77106,,2012
Chaumes-en-Brie,77,77107,,2012
Chaumontel,95,95149,,2012
Chauvry,95,95151,2.05,2012
Chavenay,78,78152,4.22,2012
Chaville,92,92022,2.05,2012
Chelles,77,77108,2.05,2012
Chennevières-lès-Louvres,95,95154,,2012
Chennevières-sur-Marne,94,94019,2.05,2012
Chenoise-Cucharmoy,77,77109,,2012
Cheptainville,91,91156,,2012
Chessy,77,77111,,2012
Chevannes,91,91159,,2012
Chevilly-Larue,94,94021,,2012
Chevrainvilliers,77,77112,,2012
Chevru,77,77113,,2012
Chevry-en-Sereine,77,77115,,2012
Chilly-Mazarin,91,91161,,2012
Choisy-en-Brie,77,77116,,2012
Choisy-le-Roi,94,94022,2.05,2012
Château-Landon,77,77099,2.37,2012
Châteaufort,78,78143,4.22,2012
Châtenay-Malabry,92,92019,2.05,2012
Châtenay-en-France,95,95144,3.06,2012
Châtenay-sur-Seine,77,77101,,2012
Châtenoy,77,77102,,2012
Châtillon,92,92020,2.05,2012
Châtillon-la-Borde,77,77103,,2012
Châtres,77,77104,2.02,2012
Citry,77,77117,,2012
Civry-la-Forêt,78,78163,,2012
Clairefontaine-en-Yvelines,78,78164,2.37,2012
Clamart,92,92023,2.05,2012
Claye-Souilly,77,77118,,2012
Clichy,92,92024,2.05,2012
Clichy-sous-Bois,93,93014,2.05,2012
Clos-Fontaine,77,77119,2.21,2012
Cocherel,77,77120,1.92,2012
Coignières,78,78168,4.22,2012
Collégien,77,77121,,2012
Colombes,92,92025,,2012
Combs-la-Ville,77,77122,,2012
Commeny (avant 2024),95,95169,,2012
Compans,77,77123,,2012
Conches-sur-Gondoire,77,77124,,2012
Condé-Sainte-Libiaire,77,77125,,2012
Condé-sur-Vesgre,78,78171,3.05,2012
Condécourt,95,95170,,2012
Conflans-Sainte-Honorine,78,78172,,2012
Congerville-Thionville,91,91613,,2012
Congis-sur-Thérouanne,77,77126,1.92,2012
Corbeil-Essonnes,91,91174,,2012
Corbreuse,91,91175,2.37,2012
Cormeilles-en-Parisis,95,95176,2.05,2012
Cormeilles-en-Vexin,95,95177,2.84,2012
Coubert,77,77127,,2012
Coubron,93,93015,2.05,2012
Couilly-Pont-aux-Dames,77,77128,,2012
Coulombs-en-Valois,77,77129,1.92,2012
Coulommes,77,77130,,2012
Coulommiers,77,77131,,2012
Coupvray,77,77132,,2012
Courances,91,91180,,2012
Courbevoie,92,92026,,2012
Courcelles-en-Bassée,77,77133,2.08,2012
Courchamp,77,77134,,2012
Courdimanche,95,95183,1.91,2012
Courdimanche-sur-Essonne,91,91184,,2012
Courquetaine,77,77136,1.94,2012
Courson-Monteloup,91,91186,,2012
Courtacon,77,77137,,2012
Courtomer,77,77138,,2012
Courtry,77,77139,,2012
Coutençon,77,77140,,2012
Coutevroult,77,77141,,2012
Crespières,78,78189,1.88,2012
Crisenoy,77,77145,,2012
Croissy-Beaubourg,77,77146,,2012
Croissy-sur-Seine,78,78190,,2012
Crosne,91,91191,,2012
Crouy-sur-Ourcq,77,77148,1.92,2012
Crèvecoeur-en-Brie,77,77144,2.02,2012
Crécy-la-Chapelle,77,77142,,2012
Crégy-lès-Meaux,77,77143,,2012
Créteil,94,94028,,2012
Cuisy,77,77150,,2012
Cély,77,77065,,2012
D'Huison-Longueville,91,91198,,2012
Dagny,77,77151,,2012
Dammarie-les-Lys,77,77152,,2012
Dammartin-en-Goële,77,77153,,2012
Dammartin-en-Serve,78,78192,,2012
Dammartin-sur-Tigeaux,77,77154,,2012
Dampmart,77,77155,,2012
Dannemarie,78,78194,2.19,2012
Dannemois,91,91195,,2012
Darvault,77,77156,,2012
Davron,78,78196,1.88,2012
Deuil-la-Barre,95,95197,2.05,2012
Dhuisy,77,77157,1.92,2012
Diant,77,77158,,2012
Domont,95,95199,2.05,2012
Donnemarie-Dontilly,77,77159,,2012
Doue,77,77162,,2012
Dourdan,91,91200,,2012
Douy-la-Ramée,77,77163,1.92,2012
Drancy,93,93029,2.05,2012
Drocourt,78,78202,,2012
Dugny,93,93030,2.05,2012
Eaubonne,95,95203,2.05,2012
Ecquevilly,78,78206,,2012
Enghien-les-Bains,95,95210,2.05,2012
Ennery,95,95211,,2012
Ermont,95,95219,2.05,2012
Esbly,77,77171,,2012
Esmans,77,77172,2.08,2012
Everly,77,77174,,2012
Faremoutiers,77,77176,,2012
Favières,77,77177,,2012
Favrieux,78,78231,,2012
Faÿ-lès-Nemours,77,77178,,2012
Ferrières-en-Brie,77,77181,,2012
Feucherolles,78,78233,1.88,2012
Flacourt,78,78234,,2012
Fleury-Mérogis,91,91235,,2012
Fleury-en-Bière,77,77185,,2012
Flexanville,78,78236,,2012
Flins-Neuve-Église,78,78237,,2012
Flins-sur-Seine,78,78238,,2012
Follainville-Dennemont,78,78239,,2012
Fontaine-Fourches,77,77187,,2012
Fontaine-la-Rivière,91,91240,,2012
Fontaine-le-Port,77,77188,,2012
Fontainebleau,77,77186,,2012
Fontains,77,77190,,2012
Fontenailles,77,77191,2.21,2012
Fontenay-Mauvoisin,78,78245,,2012
Fontenay-Saint-Père,78,78246,,2012
Fontenay-Trésigny,77,77192,,2012
Fontenay-aux-Roses,92,92032,2.05,2012
Fontenay-en-Parisis,95,95241,3.06,2012
Fontenay-le-Fleury,78,78242,4.22,2012
Fontenay-le-Vicomte,91,91244,,2012
Fontenay-lès-Briis,91,91243,,2012
Fontenay-sous-Bois,94,94033,2.05,2012
Forfry,77,77193,,2012
Forges,77,77194,2.08,2012
Forges-les-Bains,91,91249,,2012
Fosses,95,95250,2.15,2012
Fouju,77,77195,,2012
Franconville,95,95252,2.05,2012
Freneuse,78,78255,,2012
Fresnes,94,94034,,2012
Fresnes-sur-Marne,77,77196,,2012
Fromont,77,77198,,2012
Frouville,95,95258,1.78,2012
Frémainville,95,95253,,2012
Frémécourt,95,95254,2.84,2012
Frépillon,95,95256,2.05,2012
Frétoy,77,77197,,2012
Fublaines,77,77199,,2012
Féricy,77,77179,,2012
Gagny,93,93032,2.05,2012
Gaillon-sur-Montcient,78,78261,,2012
Galluis,78,78262,,2012
Gambais,78,78263,,2012
Gambaiseuil,78,78264,,2012
Garancières,78,78265,,2012
Garches,92,92033,4.22,2012
Garentreville,77,77200,2.03,2012
Gargenville,78,78267,,2012
Garges-lès-Gonesse,95,95268,,2012
Gastins,77,77201,,2012
Gazeran,78,78269,3.05,2012
Gennevilliers,92,92036,,2012
Gentilly,94,94037,,2012
Germigny-l'Évêque,77,77203,,2012
Germigny-sous-Coulombs,77,77204,1.92,2012
Gesvres-le-Chapitre,77,77205,,2012
Gif-sur-Yvette,91,91272,,2012
Giremoutiers,77,77206,,2012
Gironville-sur-Essonne,91,91273,,2012
Gometz-la-Ville,91,91274,,2012
Gometz-le-Châtel,91,91275,,2012
Gommecourt,78,78276,,2012
Gonesse,95,95277,,2012
Gouaix,77,77208,,2012
Goupillières,78,78278,,2012
Gournay-sur-Marne,93,93033,2.05,2012
Goussainville,95,95280,3.06,2012
Goussonville,78,78281,,2012
Gouvernes,77,77209,,2012
Gouzangrez,95,95282,,2012
Grandchamp,78,78283,3.05,2012
Grandpuits-Bailly-Carrois,77,77211,2.21,2012
Gravon,77,77212,,2012
Gressey,78,78285,,2012
Gressy,77,77214,,2012
Gretz-Armainvilliers,77,77215,1.94,2012
Grigny,91,91286,,2012
Grisy-Suisnes,77,77217,,2012
Grisy-sur-Seine,77,77218,,2012
Groslay,95,95288,2.05,2012
Grosrouvre,78,78289,,2012
Guercheville,77,77220,1.8,2012
Guermantes,77,77221,,2012
Guernes,78,78290,,2012
Guerville,78,78291,,2012
Guibeville,91,91292,,2012
Guignes,77,77222,,2012
Guigneville-sur-Essonne,91,91293,,2012
Guillerval,91,91294,,2012
Guitrancourt,78,78296,,2012
Gurcy-le-Châtel,77,77223,,2012
Guyancourt,78,78297,4.22,2012
Guérard,77,77219,,2012
Haravilliers,95,95298,2.84,2012
Hardricourt,78,78299,,2012
Hargeville,78,78300,,2012
Hautefeuille,77,77224,,2012
Herblay-sur-Seine,95,95306,2.05,2012
Hermeray,78,78307,3.05,2012
Hermé,77,77227,,2012
Hondevilliers,77,77228,,2012
Houdan,78,78310,,2012
Houilles,78,78311,2.05,2012
Hédouville,95,95304,1.78,2012
Héricy,77,77226,,2012
Hérouville-en-Vexin,95,95308,,2012
Ichy,77,77230,,2012
Igny,91,91312,2.05,2012
Isles-les-Meldeuses,77,77231,1.92,2012
Isles-lès-Villenoy,77,77232,,2012
Issou,78,78314,,2012
Issy-les-Moulineaux,92,92040,2.05,2012
Itteville,91,91315,,2012
Iverny,77,77233,,2012
Ivry-sur-Seine,94,94041,,2012
Jablines,77,77234,,2012
Jagny-sous-Bois,95,95316,3.06,2012
Jaignes,77,77235,1.92,2012
Jambville,78,78317,,2012
Janville-sur-Juine,91,91318,,2012
Janvry,91,91319,,2012
Jaulnes,77,77236,,2012
Joinville-le-Pont,94,94042,2.05,2012
Jossigny,77,77237,,2012
Jouarre,77,77238,,2012
Jouars-Pontchartrain,78,78321,,2012
Jouy-Mauvoisin,78,78324,,2012
Jouy-en-Josas,78,78322,2.05,2012
Jouy-le-Châtel,77,77239,,2012
Jouy-le-Moutier,95,95323,1.91,2012
Jouy-sur-Morin,77,77240,,2012
Juilly,77,77241,,2012
Jumeauville,78,78325,,2012
Jutigny,77,77242,,2012
Juvisy-sur-Orge,91,91326,2.05,2012
Juziers,78,78327,,2012
L' Haÿ-les-Roses,94,94038,2.05,2012
L' Isle-Adam,95,95313,2.78,2012
L' Étang-la-Ville,78,78224,,2012
L' Île-Saint-Denis,93,93039,2.05,2012
La Boissière-École,78,78077,3.05,2012
La Brosse-Montceaux,77,77054,2.08,2012
La Celle-Saint-Cloud,78,78126,4.22,2012
La Celle-les-Bordes,78,78125,2.37,2012
La Celle-sur-Morin,77,77063,,2012
La Chapelle-Gauthier,77,77086,,2012
La Chapelle-Moutils,77,77093,,2012
La Chapelle-Saint-Sulpice,77,77090,,2012
La Chapelle-en-Vexin,95,95139,2.71,2012
La Chapelle-la-Reine,77,77088,,2012
La Courneuve,93,93027,2.05,2012
La Croix-en-Brie,77,77147,2.35,2012
La Falaise,78,78230,,2012
La Ferté-Alais,91,91232,,2012
La Ferté-Gaucher,77,77182,,2012
La Ferté-sous-Jouarre,77,77183,,2012
La Forêt-Sainte-Croix,91,91248,,2012
La Forêt-le-Roi,91,91247,,2012
La Frette-sur-Seine,95,95257,2.05,2012
La Garenne-Colombes,92,92035,,2012
La Genevraye,77,77202,2.4,2012
La Grande-Paroisse,77,77210,2.08,2012
La Haute-Maison,77,77225,,2012
La Hauteville,78,78302,3.05,2012
La Houssaye-en-Brie,77,77229,2.02,2012
La Madeleine-sur-Loing,77,77267,,2012
La Norville,91,91457,,2012
La Queue-en-Brie,94,94060,2.78,2012
La Queue-les-Yvelines,78,78513,,2012
La Roche-Guyon,95,95523,,2012
La Rochette,77,77389,,2012
La Tombe,77,77467,,2012
La Trétoire,77,77472,,2012
La Verrière,78,78644,4.22,2012
La Ville-du-Bois,91,91665,,2012
Labbeville,95,95328,1.78,2012
Lagny-sur-Marne,77,77243,,2012
Lainville-en-Vexin,78,78329,,2012
Larchant,77,77244,,2012
Lardy,91,91330,,2012
Lassy,95,95331,2.15,2012
Laval-en-Brie,77,77245,2.08,2012
Le Bellay-en-Vexin,95,95054,2.84,2012
Le Blanc-Mesnil,93,93007,,2012
Le Bourget,93,93013,2.05,2012
Le Chesnay-Rocquencourt,78,78158,4.22,2012
Le Châtelet-en-Brie,77,77100,,2012
Le Coudray-Montceaux,91,91179,,2012
Le Heaulme,95,95303,2.84,2012
Le Kremlin-Bicêtre,94,94043,,2012
Le Mesnil-Amelot,77,77291,,2012
Le Mesnil-Aubry,95,95395,3.06,2012
Le Mesnil-Saint-Denis,78,78397,,2012
Le Mesnil-le-Roi,78,78396,2.05,2012
Le Mée-sur-Seine,77,77285,,2012
Le Mérévillois,91,91390,,2012
Le Pecq,78,78481,,2012
Le Perchay,95,95483,,2012
Le Perray-en-Yvelines,78,78486,,2012
Le Perreux-sur-Marne,94,94058,2.05,2012
Le Pin,77,77363,,2012
Le Plessis-Bouchard,95,95491,2.05,2012
Le Plessis-Gassot,95,95492,3.06,2012
Le Plessis-Luzarches,95,95493,2.15,2012
Le Plessis-Placy,77,77367,1.92,2012
Le Plessis-Pâté,91,91494,,2012
Le Plessis-Robinson,92,92060,2.05,2012
Le Plessis-Trévise,94,94059,2.78,2012
Le Plessis-aux-Bois,77,77364,,2012
Le Plessis-l'Évêque,77,77366,,2012
Le Port-Marly,78,78502,,2012
Le Pré-Saint-Gervais,93,93061,,2012
Le Raincy,93,93062,2.05,2012
Le Tartre-Gaudran,78,78606,3.05,2012
Le Tertre-Saint-Denis,78,78608,,2012
Le Thillay,95,95612,3.06,2012
Le Tremblay-sur-Mauldre,78,78623,,2012
Le Val-Saint-Germain,91,91630,,2012
Le Vaudoué,77,77485,,2012
Le Vésinet,78,78650,,2012
Les Alluets-le-Roi,78,78010,1.88,2012
Les Bréviaires,78,78108,3.05,2012
Les Chapelles-Bourbon,77,77091,2.02,2012
Les Clayes-sous-Bois,78,78165,4.22,2012
Les Essarts-le-Roi,78,78220,,2012
Les Granges-le-Roi,91,91284,,2012
Les Lilas,93,93045,,2012
Les Loges-en-Josas,78,78343,2.05,2012
Les Marêts,77,77275,,2012
Les Mesnuls,78,78398,,2012
Les Mureaux,78,78440,,2012
Les Ormes-sur-Voulzie,77,77347,,2012
Les Pavillons-sous-Bois,93,93057,2.05,2012
Les Ulis,91,91692,,2012
Les Écrennes,77,77165,,2012
Lescherolles,77,77247,,2012
Lesches,77,77248,,2012
Leudeville,91,91332,,2012
Leudon-en-Brie,77,77250,,2012
Leuville-sur-Orge,91,91333,,2012
Levallois-Perret,92,92044,2.05,2012
Lieusaint,77,77251,,2012
Limay,78,78335,,2012
Limeil-Brévannes,94,94044,,2012
Limetz-Villez,78,78337,,2012
Limoges-Fourches,77,77252,,2012
Limours,91,91338,,2012
Linas,91,91339,,2012
Lisses,91,91340,,2012
Lissy,77,77253,,2012
Liverdy-en-Brie,77,77254,1.94,2012
Livilliers,95,95341,,2012
Livry-Gargan,93,93046,2.05,2012
Livry-sur-Seine,77,77255,,2012
Lizines,77,77256,,2012
Lizy-sur-Ourcq,77,77257,1.92,2012
Lognes,77,77258,,2012
Longjumeau,91,91345,,2012
Longnes,78,78346,,2012
Longperrier,77,77259,,2012
Longpont-sur-Orge,91,91347,,2012
Longuesse,95,95348,,2012
Longueville,77,77260,,2012
Longvilliers,78,78349,2.37,2012
Lorrez-le-Bocage-Préaux,77,77261,,2012
Louan-Villegruis-Fontaine,77,77262,,2012
Louveciennes,78,78350,4.22,2012
Louvres,95,95351,3.06,2012
Luisetaines,77,77263,,2012
Lumigny-Nesles-Ormeaux,77,77264,2.33,2012
Luzancy,77,77265,,2012
Luzarches,95,95352,,2012
Léchelle,77,77246,,2012
Lévis-Saint-Nom,78,78334,,2012
Machault,77,77266,,2012
Maffliers,95,95353,2.89,2012
Magnanville,78,78354,,2012
Magny-en-Vexin,95,95355,2.71,2012
Magny-le-Hongre,77,77268,,2012
Magny-les-Hameaux,78,78356,,2012
Maincy,77,77269,,2012
Maison-Rouge,77,77272,,2012
Maisoncelles-en-Brie,77,77270,,2012
Maisoncelles-en-Gâtinais,77,77271,,2012
Maisons-Alfort,94,94046,2.05,2012
Maisons-Laffitte,78,78358,,2012
Maisse,91,91359,,2012
Malakoff,92,92046,2.05,2012
Mandres-les-Roses,94,94047,,2012
Mantes-la-Jolie,78,78361,,2012
Mantes-la-Ville,78,78362,,2012
Marchémoret,77,77273,,2012
Marcilly,77,77274,,2012
Marcoussis,91,91363,,2012
Marcq,78,78364,,2012
Mareil-Marly,78,78367,,2012
Mareil-en-France,95,95365,3.06,2012
Mareil-le-Guyon,78,78366,,2012
Mareil-sur-Mauldre,78,78368,,2012
Mareuil-lès-Meaux,77,77276,,2012
Margency,95,95369,2.05,2012
Marines,95,95370,2.84,2012
Marles-en-Brie,77,77277,2.02,2012
Marly-la-Ville,95,95371,2.15,2012
Marly-le-Roi,78,78372,,2012
Marnes-la-Coquette,92,92047,4.22,2012
Marolles-en-Beauce,91,91374,,2012
Marolles-en-Brie,77,77278,,2012
Marolles-en-Hurepoix,91,91376,,2012
Marolles-sur-Seine,77,77279,2.08,2012
Mary-sur-Marne,77,77280,1.92,2012
Massy,91,91377,2.05,2012
Mauchamps,91,91378,,2012
Maulette,78,78381,,2012
Mauperthuis,77,77281,,2012
Maurecourt,78,78382,1.91,2012
Mauregard,77,77282,,2012
Maurepas,78,78383,4.22,2012
May-en-Multien,77,77283,1.92,2012
Meaux,77,77284,,2012
Meigneux,77,77286,,2012
Meilleray,77,77287,,2012
Melun,77,77288,,2012
Melz-sur-Seine,77,77289,,2012
Mennecy,91,91386,,2012
Menouville,95,95387,1.78,2012
Menucourt,95,95388,1.91,2012
Mespuits,91,91399,,2012
Messy,77,77292,,2012
Meudon,92,92048,2.05,2012
Meulan-en-Yvelines,78,78401,,2012
Millemont,78,78404,,2012
Milly-la-Forêt,91,91405,,2012
Milon-la-Chapelle,78,78406,,2012
Misy-sur-Yonne,77,77293,2.08,2012
Mitry-Mory,77,77294,,2012
Mittainville,78,78407,3.05,2012
Moigny-sur-École,91,91408,,2012
Moisenay,77,77295,,2012
Moisselles,95,95409,2.89,2012
Moissy-Cramayel,77,77296,,2012
Mondeville,91,91412,,2012
Mondreville,78,78413,2.3,2012
Monnerville,91,91414,,2012
Mons-en-Montois,77,77298,,2012
Montainville,78,78415,,2012
Montalet-le-Bois,78,78416,,2012
Montceaux-lès-Meaux,77,77300,,2012
Montceaux-lès-Provins,77,77301,,2012
Montdauphin,77,77303,,2012
Montenils,77,77304,,2012
Montereau-Fault-Yonne,77,77305,2.08,2012
Montereau-sur-le-Jard,77,77306,,2012
Montesson,78,78418,,2012
Montfermeil,93,93047,2.05,2012
Montfort-l'Amaury,78,78420,,2012
Montgeron,91,91421,,2012
Montgé-en-Goële,77,77308,,2012
Monthyon,77,77309,,2012
Montigny-Lencoup,77,77311,,2012
Montigny-le-Bretonneux,78,78423,4.22,2012
Montigny-le-Guesdier,77,77310,,2012
Montigny-lès-Cormeilles,95,95424,2.05,2012
Montigny-sur-Loing,77,77312,2.4,2012
Montlhéry,91,91425,,2012
Montlignon,95,95426,2.05,2012
Montmachoux,77,77313,2.08,2012
Montmagny,95,95427,2.05,2012
Montmorency,95,95428,2.05,2012
Montolivet,77,77314,,2012
Montreuil,93,93048,,2012
Montrouge,92,92049,2.05,2012
Montry,77,77315,,2012
Montsoult,95,95430,2.89,2012
Montévrain,77,77307,,2012
Morainvilliers,78,78431,1.88,2012
Moret-Loing-et-Orvanne,77,77316,2.4,2012
Morigny-Champigny,91,91433,,2012
Mormant,77,77317,2.25,2012
Morsang-sur-Orge,91,91434,,2012
Morsang-sur-Seine,91,91435,,2012
Mortcerf,77,77318,2.02,2012
Mortery,77,77319,,2012
Mouroux,77,77320,,2012
Mours,95,95436,,2012
Mousseaux-lès-Bray,77,77321,,2012
Mousseaux-sur-Seine,78,78437,,2012
Moussy,95,95438,2.84,2012
Moussy-le-Neuf,77,77322,,2012
Moussy-le-Vieux,77,77323,,2012
Mouy-sur-Seine,77,77325,,2012
Médan,78,78384,1.88,2012
Méricourt,78,78391,,2012
Mériel,95,95392,2.05,2012
Mérobert,91,91393,1.52,2012
Méry-sur-Marne,77,77290,,2012
Méry-sur-Oise,95,95394,2.05,2012
Méré,78,78389,,2012
Mézières-sur-Seine,78,78402,,2012
Mézy-sur-Seine,78,78403,,2012
Nainville-les-Roches,91,91441,,2012
Nandy,77,77326,,2012
Nangis,77,77327,2.72,2012
Nanteau-sur-Essonne,77,77328,,2012
Nanteau-sur-Lunain,77,77329,,2012
Nanterre,92,92050,,2012
Nanteuil-lès-Meaux,77,77330,,2012
